Nome,Serie,Nazione,Simbolo,Colore
Atalanta,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=a093cdc0-a8a8-4f4c-9844-0e89093e51fa&groupId=10192&t=1349438698526,
Bologna,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=6645862f-d86d-4823-a09f-e51ae7eba2be&groupId=10192&t=1349438747476,
Cagliari,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=14b7fa1d-5817-48fe-bbae-dd4cbff78a0f&groupId=10192&t=1349438838378,
Catania,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=dd0faef5-0efd-4056-bba7-acecc99e6870&groupId=10192&t=1349438892595,
Chievo,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=afb5fe9f-418a-4953-b1e7-3ce6833fc65f&groupId=10192&t=1349438937436,
Fiorentina,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=fb5745c6-ef39-4665-bbc7-99c941655b33&groupId=10192&t=1349438981761,
Genoa,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=1e69a2b0-0b37-4060-8d9d-01acb9a37320&groupId=10192&t=1349439027633,
Inter,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=428ccece-9a86-475a-ae82-b12725f79306&groupId=10192&t=1349439074943,
Juventus,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=d61ee2de-b336-4385-ac64-1863e06693cd&groupId=10192&t=1349439122331,
Lazio,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=71883757-23e9-4688-b270-5bb2907c6102&groupId=10192&t=1349439163813,
Livorno,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=68aff77d-9794-4029-b4ad-7bb933656c5b&groupId=10192&t=1371485046854,
Milan,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=cb2bbc30-9cca-4060-b841-c30aae9bac89&groupId=10192&t=1349439204577,
Napoli,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=2e90fbb8-b851-4570-8f6b-133050986e14&groupId=10192&t=1349439249574,
Parma,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=d40680e5-bb1f-4921-8075-d9ba9f9480b6&groupId=10192&t=1349439340741,
Roma,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=5ec28ffa-258a-4c94-8b42-c3235b1595f1&groupId=10192&t=1349439438750,
Sampdoria,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=3461b411-faf6-4de3-878a-79e66b9df25a&groupId=10192&t=1349439545845,
Sassuolo,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=2fa408c3-4ea8-4504-8fbe-a7d2037c5908&groupId=10192&t=1371484216947,
Torino,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=a439409e-ec32-4d9e-8b54-b72344443c6a&groupId=10192&t=1349439780263,
Udinese,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=d7feaaef-1a12-4976-b412-e045314057ec&groupId=10192&t=1360939090430,
Verona,A,Italia,http://cdn.legaseriea.it/image/image_gallery?uuid=76d76b65-a05e-45aa-b6f7-5ab344930dab&groupId=10192&t=1371486103668,
Avellino,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/avellino.png,
Bari,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/s_3.png,
Brescia ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/s_2.png,
Carpi,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/carpi.png,
Cesena ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/s_4.png,
Cittadella ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/new_logo_cittadella.png,
Crotone ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/s_8.png,
Empoli,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/s_6.png,
Juve Stabia,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/juve_stabia.png,
Lanciano,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_virtus_lanciano.png,
Latina,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/latina.png,
Modena ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_modena.png,
Novara ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_novara.png,
Padova ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_padova.png,
Palermo,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/palermo.png,
Pescara,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/pescara.png,
Reggina ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_reggina.png,
Siena,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/siena.png,
Spezia ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_spezia.png,
Ternana ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_ternana.png,
Trapani,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/trapani.png,
Varese,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_varese.png,
