Nome,Serie,Nazione,Simbolo,Colore
Avellino,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/avellino.png,
Bari,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/s_3.png,
Brescia ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/s_2.png,
Carpi,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/carpi.png,
Cesena ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/s_4.png,
Cittadella ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/new_logo_cittadella.png,
Crotone ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/s_8.png,
Empoli,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/s_6.png,
Juve Stabia,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/juve_stabia.png,
Lanciano,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_virtus_lanciano.png,
Latina,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/latina.png,
Modena ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_modena.png,
Novara ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_novara.png,
Padova ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_padova.png,
Palermo,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/palermo.png,
Pescara,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/pescara.png,
Reggina ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_reggina.png,
Siena,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/siena.png,
Spezia ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_spezia.png,
Ternana ,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_ternana.png,
Trapani,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/trapani.png,
Varese,B,Italia,http://151.1.176.51/wp-content/uploads/2013/08/logo_varese.png,
Seria A,,Italia,,
Altro,,,,
